<b>Os method</b> used to use the real uid/gid to test for access to path. | os.access(path, mode) 
<b>Os method</b> used to open a new pseudo-terminal pair. return a pair of file descriptors (master, slave) for the pty and the tty, respectively. | os.openpty() 
<b>Os method</b> used to return system configuration information relevant to a named file. | os.pathconf(path, name) 
<b>Os method</b> used to create a pipe. return a pair of file descriptors (r, w) usable for reading and writing, respectively. | os.pipe() 
<b>Os method</b> used to open a pipe to or from command. | os.popen(command[, mode[, bufsize]]) 
<b>Os method</b> used to read at most n bytes from file descriptor fd. return a string containing the bytes read. if the end of the file referred to by fd has been reached, an empty string is returned. | os.read(fd, n) 
<b>Os method</b> used to return a string representing the path to which the symbolic link points. | os.readlink(path) 
<b>Os method</b> used to remove the file path. | os.remove(path) 
<b>Os method</b> used to remove directories recursively. | os.removedirs(path) 
<b>Os method</b> used to rename the file or directory src to dst. | os.rename(src, dst) 
<b>Os method</b> used to recursive directory or file renaming function. | os.renames(old, new) 
<b>Os method</b> used to remove the directory path | os.rmdir(path) 
<b>Os method</b> used to perform a stat system call on the given path. | os.stat(path) 
<b>Os method</b> used to determine whether stat_result represents time stamps as float objects. | os.stat_float_times([newvalue]) 
<b>Os method</b> used to perform a statvfs system call on the given path. | os.statvfs(path) 
<b>Os method</b> used to create a symbolic link pointing to src named dst. | os.symlink(src, dst) 
<b>Os method</b> used to return the process group associated with the terminal given by fd (an open file descriptor as returned by open()). | os.tcgetpgrp(fd) 
<b>Os method</b> used to set the process group associated with the terminal given by fd (an open file descriptor as returned by open()) to pg. | os.tcsetpgrp(fd, pg) 
<b>Os method</b> used to return a unique path name that is reasonable for creating a temporary file. | os.tempnam([dir[, prefix]]) 
<b>Os method</b> used to return a new file object opened in update mode (w+b). | os.tmpfile() 
<b>Os method</b> used to return a unique path name that is reasonable for creating a temporary file. | os.tmpnam() 
<b>Os method</b> used to return a string which specifies the terminal device associated with file descriptor fd. if fd is not associated with a terminal device, an exception is raised. | os.ttyname(fd) 
<b>Os method</b> used to remove the file path. | os.unlink(path) 
<b>Os method</b> used to set the access and modified times of the file specified by path. | os.utime(path, times) 
<b>Os method</b> used to generate the file names in a directory tree by walking the tree either top-down or bottom-up. | os.walk(top[, topdown=True[, onerror=None[, followlinks=False]]]) 
<b>Os method</b> used to write the string str to file descriptor fd. return the number of bytes actually written. | os.write(fd, str) 
