<i>element</i>.onabort | <b>DOM event</b> that occurs when the loading of a media is aborted. |  | &lt;<i>element</i> onabort | &lt;video onabort="myFunction()"&gt; |  
<i>element</i>.onerror | <b>DOM event</b> that occurs when an error occurs while loading an external file . |  | &lt;<i>element</i> onerror | &lt;img src="image.gif" onerror="myFunction()"&gt; |  
<i>element</i>.onfocus | <b>DOM event</b> that occurs when an element gets focus. |  | &lt;<i>element</i> onfocus | &lt;input type="text"  onfocus="myFunction()"&gt; |  
<i>element</i>.onfocusin | <b>DOM event</b> that occurs when an element is about to get focus. |  | &lt;<i>element</i> onfocusin | &lt;input type="text"  onfocusin="myFunction()"&gt; |  
<i>element</i>.onfocusout | <b>DOM event</b> that occurs when an element is about to lose focus. |  | &lt;<i>element</i> onfocusout | &lt;input type="text"  onfocusout="myFunction()"&gt; |  
<i>element</i>.onfullscreenchange | <b>DOM event</b> that occurs when an element is displayed in fullscreen mode. |  | &lt;<i>element</i> onfullscreenchange | document.addEventListener("fullscreenchange", function() {<br/>     output.innerHTML = "fullscreenchange event fired!";<br/>}); |  
<i>element</i>.onfullscreenerror | <b>DOM event</b> that occurs when an element can not be displayed in fullscreen mode. |  | &lt;<i>element</i> onfullscreenerror | document.addEventListener("fullscreenerror", function() {<br/>     alert("Fullscreen denied")<br/>}); |  
<i>element</i>.onhashchange | <b>DOM event</b> that occurs when there has been changes to the anchor part of a url. |  | &lt;<i>element</i> onhashchange | &lt;body onhashchange="myFunction()"&gt; |  
<i>element</i>.oninput | <b>DOM event</b> that occurs when an element gets user input. |  | &lt;<i>element</i> oninput | &lt;input type="text" oninput="myFunction()"&gt; |  
<i>element</i>.oninvalid | <b>DOM event</b> that occurs when an element is invalid. |  | &lt;<i>element</i> oninvalid | &lt;input type="text" oninvalid="alert('You must fill out the form!');" required&gt; |  
<i>element</i>.onkeydown | <b>DOM event</b> that occurs when the user is pressing a key. |  | &lt;<i>element</i> onkeydown | &lt;input type="text" onkeydown="myFunction()"&gt; |  
<i>element</i>.onkeypress | <b>DOM event</b> that occurs when the user presses a key. |  | &lt;<i>element</i> onkeypress | &lt;input type="text" onkeypress="myFunction()"&gt; |  
<i>element</i>.onkeyup | <b>DOM event</b> that occurs when the user releases a key. |  | &lt;<i>element</i> onkeyup | &lt;input type="text" onkeyup="myFunction()"&gt; |  
<i>element</i>.onload | <b>DOM event</b> that occurs when an object has loaded. |  | &lt;<i>element</i> onload | &lt;body onload="myFunction()"&gt; |  
<i>element</i>.onloadeddata | <b>DOM event</b> that occurs when media data is loaded. |  | &lt;<i>element</i> onloadeddata | &lt;video onloadeddata="myFunction()"&gt; |  
<i>element</i>.onloadedmetadata | <b>DOM event</b> that occurs when meta data (like dimensions and duration) are loaded. |  | &lt;<i>element</i> onloadedmetadata | &lt;video onloadedmetadata="myFunction()"&gt; |  
<i>element</i>.onloadstart | <b>DOM event</b> that occurs when the browser starts looking for the specified media. |  | &lt;<i>element</i> onloadstart | &lt;video onloadstart="myFunction()"&gt; |  
<b>DOM event</b>: <em>object</em>.onmessage = function(){<i>myScript</i>}; | <b>DOM event</b> that occurs when a message is received through the event source. |  | <em>object</em>.onmessage = function(){<i>myScript</i>}; | var source = new EventSource("demo_sse.php");<br/>source.onmessage = function(event) {<br/>  document.getElementById("myDIV").innerHTML += event.data + "&lt;br&gt;";<br/>}; |  
<i>element</i>.onmousedown | <b>DOM event</b> that occurs when the user presses a mouse button over an element. |  | &lt;<i>element</i> onmousedown | &lt;p onmousedown="myFunction()"&gt;Click the text!&lt;/p&gt; |  
<i>element</i>.onmouseenter | <b>DOM event</b> that occurs when the pointer is moved onto an element. |  | &lt;<i>element</i> onmouseenter | &lt;img onmouseenter="bigImg(this)" src="smiley.gif" alt="Smiley"&gt; |  
<i>element</i>. onmouseleave | <b>DOM event</b> that occurs when the pointer is moved out of an element. |  | &lt;<i>element</i>  onmouseleave | &lt;img onmouseleave="normalImg(this)" src="smiley.gif" alt="Smiley"&gt; |  
<i>element</i>.onmousemove | <b>DOM event</b> that occurs when the pointer is moving while it is over an element. |  | &lt;<i>element</i> onmousemove | &lt;div onmousemove="myFunction()"&gt;Move the cursor over me&lt;/div&gt; |  
<i>element</i>.onmouseover | <b>DOM event</b> that occurs when the pointer is moved onto an element, or onto one of its children. |  | &lt;<i>element</i> onmouseover | &lt;img onmouseover="bigImg(this)" src="smiley.gif" alt="Smiley"&gt; |  
<i>element</i>.onmouseout | <b>DOM event</b> that occurs when a user moves the mouse pointer out of an element, or out of one of its children. |  | &lt;<i>element</i> onmouseout | &lt;img onmouseout="normalImg(this)" src="smiley.gif" alt="Smiley"&gt; |  
<i>element</i>.onmouseup | <b>DOM event</b> that occurs when a user releases a mouse button over an element. |  | &lt;<i>element</i> onmouseup | &lt;p onmouseup="mouseUp()"&gt;Click the text!&lt;/p&gt; |  
<i>element</i>.onwheel | <b>DOM event</b> that deprecated. use the    wheel event instead. |  | &lt;<i>element</i> onwheel | document.getElementById("myDIV").addEventListener("wheel", myFunction);<br/> <br/>function myFunction() {<br/>  this.style.fontSize = "35px";<br/>} |  
<i>element</i>.onoffline | <b>DOM event</b> that occurs when the browser starts to work offline. |  | &lt;<i>element</i> onoffline | &lt;body onoffline="myFunction()"&gt; |  
<i>element</i>.ononline | <b>DOM event</b> that occurs when the browser starts to work online. |  | &lt;<i>element</i> ononline | &lt;body ononline="myFunction()"&gt; |  
<b>DOM event</b>: <em>object</em>.onopen = function(){<i>myScript</i>}; | <b>DOM event</b> that occurs when a connection with the event source is opened. |  | <em>object</em>.onopen = function(){<i>myScript</i>}; | var source = new EventSource("demo_sse.php");<br/>source.onopen = function() {<br/>  document.getElementById("myH1").innerHTML = "Getting server updates";<br/>}; |  
<i>element</i>.onpagehide | <b>DOM event</b> that occurs when the user navigates away from a webpage. |  | &lt;<i>element</i> onpagehide | &lt;body onpagehide="myFunction()"&gt; |  
<i>element</i>.onpageshow | <b>DOM event</b> that occurs when the user navigates to a webpage. |  | &lt;<i>element</i> onpageshow | &lt;body onpageshow="myFunction()"&gt; |  
<i>element</i>.onpaste | <b>DOM event</b> that occurs when the user pastes some content in an element. |  | &lt;<i>element</i> onpaste | &lt;input type="text" onpaste="myFunction()" value="Paste something in here"&gt; |  
<i>element</i>. onpause | <b>DOM event</b> that occurs when the media is paused either by the user or  programmatically. |  | &lt;<i>element</i>  onpause | &lt;video onpause="myFunction()"&gt; |  
<i>element</i>.onplay | <b>DOM event</b> that occurs when the media has been started or is no longer paused. |  | &lt;<i>element</i> onplay | &lt;video onplay="myFunction()"&gt; |  
<i>element</i>. onplaying | <b>DOM event</b> that occurs when the media is playing after having been paused or stopped for buffering. |  | &lt;<i>element</i>  onplaying | &lt;video onplaying="myFunction()"&gt; |  
<b>DOM event</b>: popstate | <b>DOM event</b> that occurs when the window's history changes. |  |  |  |  
<i>element</i>.onprogress | <b>DOM event</b> that occurs when the browser is in the process of getting the media  data (downloading the media). |  | &lt;<i>element</i> onprogress | &lt;video onprogress="myFunction()"&gt; |  
<i>element</i>.onratechange | <b>DOM event</b> that occurs when the playing speed of the media is changed. |  | &lt;<i>element</i> onratechange | &lt;video onratechange="myFunction()"&gt; |  
<i>element</i>.onresize | <b>DOM event</b> that occurs when the document view is resized. |  | &lt;<i>element</i> onresize | &lt;body onresize="myFunction()"&gt; |  
<i>element</i>.onreset | <b>DOM event</b> that occurs when a form is reset. |  | &lt;<i>element</i> onreset | &lt;form onreset="myFunction()"&gt;<br/>  Enter name: &lt;input type="text"&gt;<br/>  &lt;input type="reset"&gt;<br/>&lt;/form&gt; |  
<i>element</i>.onscroll | <b>DOM event</b> that occurs when an element's scrollbar is being scrolled. |  | &lt;<i>element</i> onscroll | &lt;div onscroll="myFunction()"&gt; |  
<i>element</i>.onsearch | <b>DOM event</b> that occurs when the user writes something in a search field (for <input="search">). |  | &lt;<i>element</i> onsearch | &lt;input type="search" onsearch="myFunction()"&gt; |  
<i>element</i>.onseeked | <b>DOM event</b> that occurs when the user is finished moving/skipping to a new position  in the media. |  | &lt;<i>element</i> onseeked | &lt;video onseeked="myFunction()"&gt; |  
<i>element</i>.onseeking | <b>DOM event</b> that occurs when the user starts moving/skipping to a new position in  the media. |  | &lt;<i>element</i> onseeking | &lt;video onseeking="myFunction()"&gt; |  
<i>element</i>.onselect | <b>DOM event</b> that occurs after the user selects some text (for <input> and <textarea>). |  | &lt;<i>element</i> onselect | &lt;input type="text" onselect="myFunction()"&gt; |  
<i>element</i>.onshow | <b>DOM event</b> that occurs when a <menu> element is shown as a context menu. |  | &lt;<i>element</i> onshow | &lt;div contextmenu="mymenu"&gt;<br/>  &lt;p&gt;Right-click inside this box to see the context menu!<br/>  &lt;menu type="context" id="mymenu" onshow="myFunction()"&gt;<br/>    &lt;menuitem label="Refresh" onclick="window.location.reload();"&gt;&lt;/menuitem&gt;<br/>  &lt;/menu&gt;<br/>&lt;/div&gt; |  
<i>element</i>.onstalled | <b>DOM event</b> that occurs when the browser is trying to get media data, but data is not available. |  | &lt;<i>element</i> onstalled | &lt;video onstalled="myFunction()"&gt; |  
<b>DOM event</b>: storage | <b>DOM event</b> that occurs when a web storage area is updated. |  |  |  |  
<i>element</i>.onsubmit | <b>DOM event</b> that occurs when a form is submitted. |  | &lt;<i>element</i> onsubmit | &lt;form onsubmit="myFunction()"&gt;<br/>  Enter name: &lt;input type="text"&gt;<br/>  &lt;input type="submit"&gt;<br/>&lt;/form&gt; |  
<i>element</i>.onsuspend | <b>DOM event</b> that occurs when the browser is intentionally not getting media data. |  | &lt;<i>element</i> onsuspend | &lt;video onsuspend="myFunction()"&gt; |  
<i>element</i>.ontimeupdate | <b>DOM event</b> that occurs when the playing position has changed (like when the user  fast forwards to a different point in the media). |  | &lt;<i>element</i> ontimeupdate | &lt;video ontimeupdate="myFunction()"&gt; |  
<i>element</i>.ontoggle | <b>DOM event</b> that occurs when the user opens or closes the <details> element. |  | &lt;<i>element</i> ontoggle | &lt;details ontoggle="myFunction()"&gt; |  
<i>element</i>.ontouchcancel | <b>DOM event</b> that occurs when the touch is interrupted. |  | &lt;<i>element</i> ontouchcancel | &lt;p ontouchcancel="myFunction(event)"&gt;Touch me!&lt;/p&gt; |  
<i>element</i>.ontouchend | <b>DOM event</b> that occurs when a finger is removed from a touch screen. |  | &lt;<i>element</i> ontouchend | &lt;p ontouchend="myFunction(event)"&gt;Touch me!&lt;/p&gt; |  
<i>element</i>.ontouchmove | <b>DOM event</b> that occurs when a finger is dragged across the screen. |  | &lt;<i>element</i> ontouchmove | &lt;p ontouchmove="myFunction(event)"&gt;Touch me!&lt;/p&gt; |  
<i>element</i>.ontouchstart | <b>DOM event</b> that occurs when a finger is placed on a touch screen. |  | &lt;<i>element</i> ontouchstart | &lt;p ontouchstart="myFunction(event)"&gt;Touch me!&lt;/p&gt; |  
<b>DOM event</b>: object.addEventListener("webkitTransitionEnd", <em>myScript</em>);  // Code for Safari 3.1 to 6.0<em><br/>object</em>.addEventListener("transitionend", <em>myScript</em>);        // Standard syntax<br/> | <b>DOM event</b> that occurs when a css transition has completed. |  | object.addEventListener("webkitTransitionEnd", <em>myScript</em>);  // Code for Safari 3.1 to 6.0<em><br/>object</em>.addEventListener("transitionend", <em>myScript</em>);        // Standard syntax<br/> | // Code for Safari 3.1 to 6.0<br/>  document.getElementById("myDIV").addEventListener("webkitTransitionEnd", myFunction);<br/><br/>// Standard syntax<br/>  document.getElementById("myDIV").addEventListener("transitionend", myFunction); |  
<i>element</i>.onunload | <b>DOM event</b> that occurs once a page has unloaded (for <body>). |  | &lt;<i>element</i> onunload | &lt;body onunload="myFunction()"&gt; |  
<i>element</i>.onvolumechange | <b>DOM event</b> that occurs when the volume of the media has changed (includes setting the  volume to "mute"). |  | &lt;<i>element</i> onvolumechange | &lt;video onvolumechange="myFunction()"&gt; |  
<i>element</i>.onwaiting | <b>DOM event</b> that occurs when the media has paused but is expected to resume (like  when the media pauses to buffer more data). |  | &lt;<i>element</i> onwaiting | &lt;video onwaiting="myFunction()"&gt; |  
<i>element</i>.onwheel | <b>DOM event</b> that occurs when the mouse wheel rolls up or down over an element. |  | &lt;<i>element</i> onwheel | document.getElementById("myDIV").addEventListener("wheel", myFunction);<br/> <br/>function myFunction() {<br/>  this.style.fontSize = "35px";<br/>} |  
<b>Events property/method</b>: <em>event</em>.altKey | <b>Events property/method</b> that returns whether the "alt" key was pressed when the mouse event was triggered. |  | <em>event</em>.altKey | if (event.altKey) {<br/>  alert("The ALT key was pressed!");<br/>  } else {<br/>  alert("The ALT key was NOT pressed!");<br/>}<br/> |  
<b>Events property/method</b>: <em>event</em>.altKey | <b>Events property/method</b> that returns whether the "alt" key was pressed when the key event was triggered. |  | <em>event</em>.altKey | var x = document.getElementById("demo");<br/>if (event.altKey) {<br/>  x.innerHTML = "The ALT key was pressed!";<br/>} else {<br/>  x.innerHTML = "The ALT key was NOT pressed!";<br/>}<br/> |  
<b>Events property/method</b>: <em>event</em>.animationName | <b>Events property/method</b> that returns the name of the animation. |  | <em>event</em>.animationName | var x = document.getElementById("myDIV");<br/>x.addEventListener("animationstart", myStartFunction);<br/><br/>function myStartFunction(event) {<br/>  this.innerHTML = "Animation-name is: " + event.animationName;<br/>} |  
<b>Events property/method</b>: <em>event</em>.bubbles | <b>Events property/method</b> that returns whether or not a specific event is a bubbling event. |  | <em>event</em>.bubbles | var x = event.bubbles;<br/> |  
<b>Events property/method</b>: <em>event</em>.button | <b>Events property/method</b> that returns which mouse button was pressed when the mouse event was triggered. |  | <em>event</em>.button | alert("You pressed button: " + event.button)<br/> |  
<b>Events property/method</b>: <em>event</em>.buttons | <b>Events property/method</b> that returns which mouse buttons were pressed when the mouse event was triggered. |  | <em>event</em>.buttons | var x = event.buttons;<br/> |  
<b>Events property/method</b>: <em>event</em>.cancelable | <b>Events property/method</b> that returns whether or not an event can have its default action prevented. |  | <em>event</em>.cancelable | var x = event.cancelable;<br/> |  
<b>Events property/method</b>: <em>event</em>.charCode | <b>Events property/method</b> that returns the unicode character code of the key that triggered the  onkeypress event. |  | <em>event</em>.charCode | var x = event.charCode; |  
<b>Events property/method</b>: changetouches | <b>Events property/method</b> that returns a list of all the touch objects whose state changed between the      previous touch and this touch. |  |  |  |  
<b>Events property/method</b>: <em>event</em>.clientX | <b>Events property/method</b> that returns the horizontal coordinate of the mouse pointer, relative to the current window, when  the mouse event was triggered. |  | <em>event</em>.clientX | var x = event.clientX;     // Get the horizontal coordinate<br/>var y = event.clientY;     // Get the vertical coordinate<br/>var coor = "X coords: " + x + ", Y coords: " + y;<br/> |  
<b>Events property/method</b>: <em>event</em>.clientY | <b>Events property/method</b> that returns the vertical coordinate of the mouse pointer, relative to the current window, when  the mouse event was triggered. |  | <em>event</em>.clientY | var x = event.clientX;     // Get the horizontal coordinate<br/>var y = event.clientY;     // Get the vertical coordinate<br/>var coor = "X coords: " + x + ", Y coords: " + y;<br/> |  
<b>Events property/method</b>: clipboarddata | <b>Events property/method</b> that returns an object containing the data affected by the clipboard      operation. |  |  |  |  
<b>Events property/method</b>: <em>event</em>.code | <b>Events property/method</b> that returns the code of the key that triggered the event. |  | <em>event</em>.code | var x = event.code; |  
<b>Events property/method</b>: composed | <b>Events property/method</b> that returns whether the event is composed or not . |  |  |  |  
<b>Events property/method</b>: <em>event</em>.ctrlKey | <b>Events property/method</b> that returns whether the "ctrl" key was pressed when the mouse event was triggered. |  | <em>event</em>.ctrlKey | if (event.ctrlKey) {<br/>  alert("The CTRL key was pressed!");<br/>  } else {<br/>  alert("The CTRL key was NOT pressed!");<br/>}<br/> |  
<b>Events property/method</b>: <em>event</em>.ctrlKey | <b>Events property/method</b> that returns whether the "ctrl" key was pressed when the key event was triggered. |  | <em>event</em>.ctrlKey | var x = document.getElementById("demo");<br/>if (event.ctrlKey) {<br/>  x.innerHTML = "The CTRL key was pressed!";<br/>} else {<br/>  x.innerHTML = "The CTRL key was NOT pressed!";<br/>}<br/> |  
<b>Events property/method</b>: <em>event</em>.currentTarget | <b>Events property/method</b> that returns the element whose event listeners triggered the event. |  | <em>event</em>.currentTarget | alert(event.currentTarget);<br/> |  
<b>Events property/method</b>: <em>event</em>.data | <b>Events property/method</b> that returns the inserted characters. |  | <em>event</em>.data | function myFunction(event) {<br/>  var x = event.data;<br/>}<br/> |  
<b>Events property/method</b>: datatransfer | <b>Events property/method</b> that returns an object containing the data being dragged/dropped, or      inserted/deleted. |  |  |  |  
<b>Events property/method</b>: <em>event</em>.defaultPrevented | <b>Events property/method</b> that returns whether or not the preventdefault() method was called for  the event. |  | <em>event</em>.defaultPrevented | document.getElementById("myAnchor").addEventListener("click", function(event){<br/>  event.preventDefault()<br/>  alert("Was preventDefault() called: " + event.defaultPrevented);<br/>});<br/> |  
<b>Events property/method</b>: <em>event</em>.deltaX | <b>Events property/method</b> that returns the horizontal scroll amount of a mouse wheel (x-axis). |  | <em>event</em>.deltaX | function myFunction(event) {<br/>  var x = event.deltaX;<br/>}<br/> |  
<b>Events property/method</b>: <em>event</em>.deltaY | <b>Events property/method</b> that returns the vertical scroll amount of a mouse wheel (y-axis). |  | <em>event</em>.deltaY | function myFunction(event) {<br/>  var y = event.deltaY;<br/>}<br/> |  
<b>Events property/method</b>: <em>event</em>.deltaZ | <b>Events property/method</b> that returns the scroll amount of a mouse wheel for the z-axis. |  | <em>event</em>.deltaZ | function myFunction(event) {<br/>  var z = event.deltaZ;<br/>}<br/> |  
<b>Events property/method</b>: <em>event</em>.deltaMode | <b>Events property/method</b> that returns a number that represents the unit of measurements for delta values (pixels, lines or pages). |  | <em>event</em>.deltaMode | function myFunction(event) {<br/>  var x = event.deltaMode;<br/>  // 0    = pixels<br/>  // 1 = lines<br/>  // 2 = pages<br/>}<br/> |  
<b>Events property/method</b>: <em>event</em>.detail | <b>Events property/method</b> that returns a number that indicates how many times the mouse was clicked. |  | <em>event</em>.detail | var x = event.detail;<br/> |  
<b>Events property/method</b>: <em>event</em>.elapsedTime | <b>Events property/method</b> that returns the number of seconds an animation has been running. |  | <em>event</em>.elapsedTime | var x = document.getElementById("myDIV");<br/>x.addEventListener("animationiteration", myRepeatFunction);<br/><br/>function myRepeatFunction(event) {<br/>  this.innerHTML = "Elapsed time: " + event.elapsedTime;<br/>} |  
<b>Events property/method</b>: <em>event</em>.elapsedTime | <b>Events property/method</b> that returns the number of seconds a transition has been running. |  | <em>event</em>.elapsedTime | document.getElementById("myDIV").addEventListener("transitionend", myFunction);<br/><br/>function myFunction(event) {<br/>  this.innerHTML = "Transition lasted: " + event.elapsedTime + " seconds";<br/>  } |  
<b>Events property/method</b>: <em>event</em>.eventPhase | <b>Events property/method</b> that returns which phase of the event flow is currently being evaluated. |  | <em>event</em>.eventPhase |  |  
<b>Events property/method</b>: gettargetranges() | <b>Events property/method</b> that returns an array containing target ranges that will be affected by the      insertion/deletion. |  |  |  |  
<b>Events property/method</b>: <em>event</em>.getModifierState(<em>modifierKey</em>) | <b>Events property/method</b> that returns an array containing target ranges that will be affected by the      insertion/deletion. |  | <em>event</em>.getModifierState(<em>modifierKey</em>) | var x = event.getModifierState("CapsLock"); |  
<b>Events property/method</b>: <em>event</em>.inputType | <b>Events property/method</b> that returns the type of the change (i.e "inserting" or "deleting"). |  | <em>event</em>.inputType | function myFunction(event) {<br/>  var x = event.inputType;<br/>}<br/> |  
<b>Events property/method</b>: iscomposing | <b>Events property/method</b> that returns whether the state of the event is composing or not. |  |  |  |  
<b>Events property/method</b>: <em>event</em>.isTrusted | <b>Events property/method</b> that returns whether or not an event is trusted. |  | <em>event</em>.isTrusted | function myFunction(event) {<br/>  if ("isTrusted" in event) {<br/>    if (event.isTrusted) {<br/>         alert ("The " + event.type + " event is trusted.");<br/>    } else {<br/>         alert ("The " + event.type + " event is not trusted.");<br/>       }<br/>  } else {<br/>    alert ("The isTrusted property is not supported by your browser");<br/>     }<br/>}<br/> |  
<b>Events property/method</b>: <em>event</em>.key | <b>Events property/method</b> that returns the key value of the key represented by the event. |  | <em>event</em>.key | var x = event.key; |  
<b>Events property/method</b>: key | <b>Events property/method</b> that returns the key of the changed storage item. |  |  |  |  
<b>Events property/method</b>: event.keyCode | <b>Events property/method</b> that returns the unicode character code of the key that triggered the onkeypress event, or the  unicode key code of the key that triggered the onkeydown or  onkeyup event. |  | event.keyCode | let unicode = event.keyCode; |  
<b>Events property/method</b>: <em>event</em>.location | <b>Events property/method</b> that returns the location of a key on the keyboard or device. |  | <em>event</em>.location | var x = event.location; |  
<b>Events property/method</b>: lengthcomputable | <b>Events property/method</b> that returns whether the length of the progress can be computable or not. |  |  |  |  
<b>Events property/method</b>: loaded | <b>Events property/method</b> that returns how much work has been loaded. |  |  |  |  
<b>Events property/method</b>: <em>event</em>.metaKey | <b>Events property/method</b> that returns whether the "meta" key was pressed when an event was triggered. |  | <em>event</em>.metaKey | if (event.metaKey) {<br/>  alert("The META key was pressed!");<br/>  } else {<br/>  alert("The META key was NOT pressed!");<br/>}<br/> |  
<b>Events property/method</b>: <em>event</em>.metaKey | <b>Events property/method</b> that returns whether the "meta" key was pressed when the key event was triggered. |  | <em>event</em>.metaKey | var x = document.getElementById("demo");<br/>if (event.metaKey) {<br/>  x.innerHTML = "The META key was pressed!";<br/>} else {<br/>  x.innerHTML = "The META key was NOT pressed!";<br/>}<br/> |  
<b>Events property/method</b>: movementx | <b>Events property/method</b> that returns the horizontal coordinate of the mouse pointer relative to the  position of the last mousemove event. |  |  |  |  
<b>Events property/method</b>: movementy | <b>Events property/method</b> that returns the vertical coordinate of the mouse pointer relative to the  position of the last mousemove event. |  |  |  |  
