<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onabort="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the loading of a media is aborted. | &lt;<i>element</i> onabort="<i>myScript</i>"&gt; |  | &lt;video onabort="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> ontouchmove="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when a finger is dragged across the screen. | &lt;<i>element</i> ontouchmove="<i>myScript</i>"&gt; |  | &lt;p ontouchmove="myFunction(event)"&gt;Touch me!&lt;/p&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> ontouchstart="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when a finger is placed on a touch screen. | &lt;<i>element</i> ontouchstart="<i>myScript</i>"&gt; |  | &lt;p ontouchstart="myFunction(event)"&gt;Touch me!&lt;/p&gt; |  
<b>Dom_obj_event.asp event</b>: object.addEventListener("webkitTransitionEnd", <em>myScript</em>);  // Code for Safari 3.1 to 6.0<em><br/>object</em>.addEventListener("transitionend", <em>myScript</em>);        // Standard syntax<br/> | <b>Dom_obj_event.asp event</b> that the event occurs when a css transition has completed. | object.addEventListener("webkitTransitionEnd", <em>myScript</em>);  // Code for Safari 3.1 to 6.0<em><br/>object</em>.addEventListener("transitionend", <em>myScript</em>);        // Standard syntax<br/> |  | // Code for Safari 3.1 to 6.0<br/>  document.getElementById("myDIV").addEventListener("webkitTransitionEnd", myFunction);<br/><br/>// Standard syntax<br/>  document.getElementById("myDIV").addEventListener("transitionend", myFunction); |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onunload="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs once a page has unloaded (for <body>). | &lt;<i>element</i> onunload="<i>myScript</i>"&gt; |  | &lt;body onunload="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onvolumechange="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the volume of the media has changed (includes setting the  volume to "mute"). | &lt;<i>element</i> onvolumechange="<i>myScript</i>"&gt; |  | &lt;video onvolumechange="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onwaiting="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the media has paused but is expected to resume (like  when the media pauses to buffer more data). | &lt;<i>element</i> onwaiting="<i>myScript</i>"&gt; |  | &lt;video onwaiting="myFunction()"&gt; |  
<b>Dom_obj_event.asp event</b>: &lt;<i>element</i> onwheel="<i>myScript</i>"&gt; | <b>Dom_obj_event.asp event</b> that the event occurs when the mouse wheel rolls up or down over an element. | &lt;<i>element</i> onwheel="<i>myScript</i>"&gt; |  | document.getElementById("myDIV").addEventListener("wheel", myFunction);<br/> <br/>function myFunction() {<br/>  this.style.fontSize = "35px";<br/>} |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.altKey | <b>Dom_obj_event.asp property/method</b> that returns whether the "alt" key was pressed when the mouse event was triggered. | <em>event</em>.altKey |  | if (event.altKey) {<br/>  alert("The ALT key was pressed!");<br/>  } else {<br/>  alert("The ALT key was NOT pressed!");<br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.altKey | <b>Dom_obj_event.asp property/method</b> that returns whether the "alt" key was pressed when the key event was triggered. | <em>event</em>.altKey |  | var x = document.getElementById("demo");<br/>if (event.altKey) {<br/>  x.innerHTML = "The ALT key was pressed!";<br/>} else {<br/>  x.innerHTML = "The ALT key was NOT pressed!";<br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.animationName | <b>Dom_obj_event.asp property/method</b> that returns the name of the animation. | <em>event</em>.animationName |  | var x = document.getElementById("myDIV");<br/>x.addEventListener("animationstart", myStartFunction);<br/><br/>function myStartFunction(event) {<br/>  this.innerHTML = "Animation-name is: " + event.animationName;<br/>} |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.bubbles | <b>Dom_obj_event.asp property/method</b> that returns whether or not a specific event is a bubbling event. | <em>event</em>.bubbles |  | var x = event.bubbles;<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.button | <b>Dom_obj_event.asp property/method</b> that returns which mouse button was pressed when the mouse event was triggered. | <em>event</em>.button |  | alert("You pressed button: " + event.button)<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.buttons | <b>Dom_obj_event.asp property/method</b> that returns which mouse buttons were pressed when the mouse event was triggered. | <em>event</em>.buttons |  | var x = event.buttons;<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.cancelable | <b>Dom_obj_event.asp property/method</b> that returns whether or not an event can have its default action prevented. | <em>event</em>.cancelable |  | var x = event.cancelable;<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.charCode | <b>Dom_obj_event.asp property/method</b> that returns the unicode character code of the key that triggered the  onkeypress event. | <em>event</em>.charCode |  | var x = event.charCode; |  
<b>Dom_obj_event.asp property/method</b>: changetouches | <b>Dom_obj_event.asp property/method</b> that returns a list of all the touch objects whose state changed between the      previous touch and this touch. |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.clientX | <b>Dom_obj_event.asp property/method</b> that returns the horizontal coordinate of the mouse pointer, relative to the current window, when  the mouse event was triggered. | <em>event</em>.clientX |  | var x = event.clientX;     // Get the horizontal coordinate<br/>var y = event.clientY;     // Get the vertical coordinate<br/>var coor = "X coords: " + x + ", Y coords: " + y;<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.clientY | <b>Dom_obj_event.asp property/method</b> that returns the vertical coordinate of the mouse pointer, relative to the current window, when  the mouse event was triggered. | <em>event</em>.clientY |  | var x = event.clientX;     // Get the horizontal coordinate<br/>var y = event.clientY;     // Get the vertical coordinate<br/>var coor = "X coords: " + x + ", Y coords: " + y;<br/> |  
<b>Dom_obj_event.asp property/method</b>: clipboarddata | <b>Dom_obj_event.asp property/method</b> that returns an object containing the data affected by the clipboard      operation. |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.code | <b>Dom_obj_event.asp property/method</b> that returns the code of the key that triggered the event. | <em>event</em>.code |  | var x = event.code; |  
<b>Dom_obj_event.asp property/method</b>: composed | <b>Dom_obj_event.asp property/method</b> that returns whether the event is composed or not . |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.ctrlKey | <b>Dom_obj_event.asp property/method</b> that returns whether the "ctrl" key was pressed when the mouse event was triggered. | <em>event</em>.ctrlKey |  | if (event.ctrlKey) {<br/>  alert("The CTRL key was pressed!");<br/>  } else {<br/>  alert("The CTRL key was NOT pressed!");<br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.ctrlKey | <b>Dom_obj_event.asp property/method</b> that returns whether the "ctrl" key was pressed when the key event was triggered. | <em>event</em>.ctrlKey |  | var x = document.getElementById("demo");<br/>if (event.ctrlKey) {<br/>  x.innerHTML = "The CTRL key was pressed!";<br/>} else {<br/>  x.innerHTML = "The CTRL key was NOT pressed!";<br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.currentTarget | <b>Dom_obj_event.asp property/method</b> that returns the element whose event listeners triggered the event. | <em>event</em>.currentTarget |  | alert(event.currentTarget);<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.data | <b>Dom_obj_event.asp property/method</b> that returns the inserted characters. | <em>event</em>.data |  | function myFunction(event) {<br/>  var x = event.data;<br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: datatransfer | <b>Dom_obj_event.asp property/method</b> that returns an object containing the data being dragged/dropped, or      inserted/deleted. |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.defaultPrevented | <b>Dom_obj_event.asp property/method</b> that returns whether or not the preventdefault() method was called for  the event. | <em>event</em>.defaultPrevented |  | document.getElementById("myAnchor").addEventListener("click", function(event){<br/>  event.preventDefault()<br/>  alert("Was preventDefault() called: " + event.defaultPrevented);<br/>});<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.deltaX | <b>Dom_obj_event.asp property/method</b> that returns the horizontal scroll amount of a mouse wheel (x-axis). | <em>event</em>.deltaX |  | function myFunction(event) {<br/>  var x = event.deltaX;<br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.deltaY | <b>Dom_obj_event.asp property/method</b> that returns the vertical scroll amount of a mouse wheel (y-axis). | <em>event</em>.deltaY |  | function myFunction(event) {<br/>  var y = event.deltaY;<br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.deltaZ | <b>Dom_obj_event.asp property/method</b> that returns the scroll amount of a mouse wheel for the z-axis. | <em>event</em>.deltaZ |  | function myFunction(event) {<br/>  var z = event.deltaZ;<br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.deltaMode | <b>Dom_obj_event.asp property/method</b> that returns a number that represents the unit of measurements for delta values (pixels, lines or pages). | <em>event</em>.deltaMode |  | function myFunction(event) {<br/>  var x = event.deltaMode;<br/>  // 0    = pixels<br/>  // 1 = lines<br/>  // 2 = pages<br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.detail | <b>Dom_obj_event.asp property/method</b> that returns a number that indicates how many times the mouse was clicked. | <em>event</em>.detail |  | var x = event.detail;<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.elapsedTime | <b>Dom_obj_event.asp property/method</b> that returns the number of seconds an animation has been running. | <em>event</em>.elapsedTime |  | var x = document.getElementById("myDIV");<br/>x.addEventListener("animationiteration", myRepeatFunction);<br/><br/>function myRepeatFunction(event) {<br/>  this.innerHTML = "Elapsed time: " + event.elapsedTime;<br/>} |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.elapsedTime | <b>Dom_obj_event.asp property/method</b> that returns the number of seconds a transition has been running. | <em>event</em>.elapsedTime |  | document.getElementById("myDIV").addEventListener("transitionend", myFunction);<br/><br/>function myFunction(event) {<br/>  this.innerHTML = "Transition lasted: " + event.elapsedTime + " seconds";<br/>  } |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.eventPhase | <b>Dom_obj_event.asp property/method</b> that returns which phase of the event flow is currently being evaluated. | <em>event</em>.eventPhase |  |  |  
<b>Dom_obj_event.asp property/method</b>: gettargetranges() | <b>Dom_obj_event.asp property/method</b> that returns an array containing target ranges that will be affected by the      insertion/deletion. |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.getModifierState(<em>modifierKey</em>) | <b>Dom_obj_event.asp property/method</b> that returns an array containing target ranges that will be affected by the      insertion/deletion. | <em>event</em>.getModifierState(<em>modifierKey</em>) |  | var x = event.getModifierState("CapsLock"); |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.inputType | <b>Dom_obj_event.asp property/method</b> that returns the type of the change (i.e "inserting" or "deleting"). | <em>event</em>.inputType |  | function myFunction(event) {<br/>  var x = event.inputType;<br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: iscomposing | <b>Dom_obj_event.asp property/method</b> that returns whether the state of the event is composing or not. |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.isTrusted | <b>Dom_obj_event.asp property/method</b> that returns whether or not an event is trusted. | <em>event</em>.isTrusted |  | function myFunction(event) {<br/>  if ("isTrusted" in event) {<br/>    if (event.isTrusted) {<br/>         alert ("The " + event.type + " event is trusted.");<br/>    } else {<br/>         alert ("The " + event.type + " event is not trusted.");<br/>       }<br/>  } else {<br/>    alert ("The isTrusted property is not supported by your browser");<br/>     }<br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.key | <b>Dom_obj_event.asp property/method</b> that returns the key value of the key represented by the event. | <em>event</em>.key |  | var x = event.key; |  
<b>Dom_obj_event.asp property/method</b>: key | <b>Dom_obj_event.asp property/method</b> that returns the key of the changed storage item. |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: event.keyCode | <b>Dom_obj_event.asp property/method</b> that returns the unicode character code of the key that triggered the onkeypress event, or the  unicode key code of the key that triggered the onkeydown or  onkeyup event. | event.keyCode |  | let unicode = event.keyCode; |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.location | <b>Dom_obj_event.asp property/method</b> that returns the location of a key on the keyboard or device. | <em>event</em>.location |  | var x = event.location; |  
<b>Dom_obj_event.asp property/method</b>: lengthcomputable | <b>Dom_obj_event.asp property/method</b> that returns whether the length of the progress can be computable or not. |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: loaded | <b>Dom_obj_event.asp property/method</b> that returns how much work has been loaded. |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.metaKey | <b>Dom_obj_event.asp property/method</b> that returns whether the "meta" key was pressed when an event was triggered. | <em>event</em>.metaKey |  | if (event.metaKey) {<br/>  alert("The META key was pressed!");<br/>  } else {<br/>  alert("The META key was NOT pressed!");<br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.metaKey | <b>Dom_obj_event.asp property/method</b> that returns whether the "meta" key was pressed when the key event was triggered. | <em>event</em>.metaKey |  | var x = document.getElementById("demo");<br/>if (event.metaKey) {<br/>  x.innerHTML = "The META key was pressed!";<br/>} else {<br/>  x.innerHTML = "The META key was NOT pressed!";<br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: movementx | <b>Dom_obj_event.asp property/method</b> that returns the horizontal coordinate of the mouse pointer relative to the  position of the last mousemove event. |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: movementy | <b>Dom_obj_event.asp property/method</b> that returns the vertical coordinate of the mouse pointer relative to the  position of the last mousemove event. |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: newvalue | <b>Dom_obj_event.asp property/method</b> that returns the new value of the changed storage item. |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.newURL | <b>Dom_obj_event.asp property/method</b> that returns the url of the document, after the hash has been changed. | <em>event</em>.newURL |  | event.newURL; |  
<b>Dom_obj_event.asp property/method</b>: offsetx | <b>Dom_obj_event.asp property/method</b> that returns the horizontal coordinate of the mouse pointer relative to the  position of the edge of the target element. |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: offsety | <b>Dom_obj_event.asp property/method</b> that returns the vertical coordinate of the mouse pointer relative to the  position of the edge of the target element. |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: oldvalue | <b>Dom_obj_event.asp property/method</b> that returns the old value of the changed storage item. |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.oldURL | <b>Dom_obj_event.asp property/method</b> that returns the url of the document, before the hash was changed. | <em>event</em>.oldURL |  | event.oldURL; |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.pageX | <b>Dom_obj_event.asp property/method</b> that returns the horizontal coordinate of the mouse pointer, relative to the document, when  the mouse event was triggered. | <em>event</em>.pageX |  | var x = event.pageX;     // Get the horizontal coordinate<br/>var y = event.pageY;     // Get the vertical coordinate<br/>var coor = "X coords: " + x + ", Y coords: " + y;<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.pageY | <b>Dom_obj_event.asp property/method</b> that returns the vertical coordinate of the mouse pointer, relative to the document, when  the mouse event was triggered. | <em>event</em>.pageY |  | var x = event.pageX;     // Get the horizontal coordinate<br/>var y = event.pageY;     // Get the vertical coordinate<br/>var coor = "X coords: " + x + ", Y coords: " + y;<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.persisted | <b>Dom_obj_event.asp property/method</b> that returns whether the webpage was cached by the browser. | <em>event</em>.persisted |  | function myFunction(event) { <br/>  alert(event.persisted);<br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.preventDefault() | <b>Dom_obj_event.asp property/method</b> that cancels the event if it is cancelable, meaning that the default  action that belongs to the event will not occur. | <em>event</em>.preventDefault() |  | document.getElementById("myAnchor").addEventListener("click", function(event){<br/>     event.preventDefault()<br/>});<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.propertyName | <b>Dom_obj_event.asp property/method</b> that returns the name of the css property associated with the animation or transition. | <em>event</em>.propertyName |  | document.getElementById("myDIV").addEventListener("transitionend", myFunction);<br/><br/>function myFunction(event) {<br/>     this.innerHTML = "Property name is: " + event.propertyName;<br/>} |  
<b>Dom_obj_event.asp property/method</b>: pseudoelement | <b>Dom_obj_event.asp property/method</b> that returns the name of the pseudo-element of the animation or transition. |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: region | <b>Dom_obj_event.asp property/method</b> that . |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.relatedTarget | <b>Dom_obj_event.asp property/method</b> that returns the element related to the element that triggered the mouse event. | <em>event</em>.relatedTarget |  | &lt;p onmouseover="getRelatedElement(event)"&gt;Mouse over this paragraph.&lt;/p&gt;<br/> <br/>&lt;script&gt;<br/>function getRelatedElement(event) { <br/>  alert("The cursor just exited the " + event.relatedTarget.tagName + " element.");<br/>}<br/>&lt;/script&gt;<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.relatedTarget | <b>Dom_obj_event.asp property/method</b> that returns the element related to the element that triggered the event. | <em>event</em>.relatedTarget |  | function getRelatedElement(event) { <br/>  alert(event.relatedTarget.tagName);<br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: repeat | <b>Dom_obj_event.asp property/method</b> that returns whether a key is being hold down repeatedly, or not. |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.screenX | <b>Dom_obj_event.asp property/method</b> that returns the horizontal coordinate of the mouse pointer, relative to the screen, when an event was triggered. | <em>event</em>.screenX |  | var x = event.screenX;     // Get the horizontal coordinate<br/>var y = event.screenY;     // Get the vertical coordinate<br/>var coor = "X coords: " + x + ", Y coords: " + y;<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.screenY | <b>Dom_obj_event.asp property/method</b> that returns the vertical coordinate of the mouse pointer, relative to  the screen, when an event was triggered. | <em>event</em>.screenY |  | var x = event.screenX;     // Get the horizontal coordinate<br/>var y = event.screenY;     // Get the vertical coordinate<br/>var coor = "X coords: " + x + ", Y coords: " + y;<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.shiftKey | <b>Dom_obj_event.asp property/method</b> that returns whether the "shift" key was pressed when an event was triggered. | <em>event</em>.shiftKey |  | if (event.shiftKey) {<br/>  alert("The SHIFT key was pressed!");<br/>  } else {<br/>  alert("The SHIFT key was NOT pressed!");<br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.shiftKey | <b>Dom_obj_event.asp property/method</b> that returns whether the "shift" key was pressed when the key event was triggered. | <em>event</em>.shiftKey |  | var x = document.getElementById("demo");<br/>if (event.shiftKey) {<br/>  x.innerHTML = "The SHIFT key was pressed!";<br/>} else {<br/>  x.innerHTML = "The SHIFT key was NOT pressed!";<br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: state | <b>Dom_obj_event.asp property/method</b> that returns an object containing a copy of the history entries. |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.stopImmediatePropagation() | <b>Dom_obj_event.asp property/method</b> that prevents other listeners of the same event from being called. | <em>event</em>.stopImmediatePropagation() |  | var x = document.getElementById("myBtn");<br/>x.addEventListener("click", myFunction);<br/>x.addEventListener("click", someOtherFunction);<br/> <br/>function myFunction(event) {<br/>  alert ("Hello World!");<br/>  event.stopImmediatePropagation();<br/>} <br/><br/>// This function will not be executed<br/>function someOtherFunction() {<br/>  alert ("I will not get to say Hello World"); <br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.stopPropagation() | <b>Dom_obj_event.asp property/method</b> that prevents further propagation of an event during event flow. | <em>event</em>.stopPropagation() |  | function func1(event) {<br/>  alert("DIV 1");<br/>     event.stopPropagation();<br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: storagearea | <b>Dom_obj_event.asp property/method</b> that returns an object representing the affected storage object. |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.target | <b>Dom_obj_event.asp property/method</b> that returns the element that triggered the event. | <em>event</em>.target |  | alert(event.target);<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.targetTouches | <b>Dom_obj_event.asp property/method</b> that returns a list of all the touch objects that are in contact with the    surface and where the touchstart event occured on the same target element as    the current target element. | <em>event</em>.targetTouches |  | function countTouches(event) {<br/>  var x = event.targetTouches.length;<br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.timeStamp | <b>Dom_obj_event.asp property/method</b> that returns the time (in milliseconds relative to the epoch) at which  the event was created. | <em>event</em>.timeStamp |  | var n = event.timeStamp; |  
<b>Dom_obj_event.asp property/method</b>: total | <b>Dom_obj_event.asp property/method</b> that returns the total amount of work that will be loaded. |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.touches | <b>Dom_obj_event.asp property/method</b> that returns a list of all the touch objects that are currently in contact with    the surface. | <em>event</em>.touches |  | function countTouches(event) {<br/>  var x = event.touches.length;<br/>}<br/> |  
<b>Dom_obj_event.asp property/method</b>: object.addEventListener("webkitTransitionEnd", <em>myScript</em>);  // Code for Safari 3.1 to 6.0<em><br/>object</em>.addEventListener("transitionend", <em>myScript</em>);        // Standard syntax<br/> | <b>Dom_obj_event.asp property/method</b> that the event occurs when a css transition has completed. | object.addEventListener("webkitTransitionEnd", <em>myScript</em>);  // Code for Safari 3.1 to 6.0<em><br/>object</em>.addEventListener("transitionend", <em>myScript</em>);        // Standard syntax<br/> |  | // Code for Safari 3.1 to 6.0<br/>  document.getElementById("myDIV").addEventListener("webkitTransitionEnd", myFunction);<br/><br/>// Standard syntax<br/>  document.getElementById("myDIV").addEventListener("transitionend", myFunction); |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.type | <b>Dom_obj_event.asp property/method</b> that returns the name of the event. | <em>event</em>.type |  | var x = event.type; |  
<b>Dom_obj_event.asp property/method</b>: url | <b>Dom_obj_event.asp property/method</b> that returns the url of the changed item's document. |  |  |  |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.which | <b>Dom_obj_event.asp property/method</b> that returns which mouse button was pressed when the mouse event was triggered. | <em>event</em>.which |  | alert("You pressed button: " + event.which)<br/> |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.which | <b>Dom_obj_event.asp property/method</b> that returns the unicode character code of the key that triggered the onkeypress event, or the  unicode key code of the key that triggered the onkeydown or  onkeyup event. | <em>event</em>.which |  | var x = event.which; |  
<b>Dom_obj_event.asp property/method</b>: <em>event</em>.view | <b>Dom_obj_event.asp property/method</b> that returns a reference to the window object where the event occurred. | <em>event</em>.view |  | var x = event.view;<br/> |  
