<b>Math Function:</b> double acos(double <i>x</i>); | <b>Math function</b> used to calculates the arc cosine of x. 
<b>Math Function:</b> double modf(double <i>x</i>, double *<i>intptr</i>); | <b>Math function</b> used to breaks down the floating-point value x into fractional and integral parts. 
<b>Math Function:</b> double nextafter(double <i>x</i>, double <i>y</i>); | <b>Math function</b> used to calculates the next representable value after x in the direction of y. 
<b>Math Function:</b> long double nextafterl(long double <i>x</i>, long double <i>y</i>); | <b>Math function</b> used to calculates the next representable value after x in the direction of y. 
<b>Math Function:</b> double nexttoward(double <i>x</i>, long double <i>y</i>); | <b>Math function</b> used to calculates the next representable value after x in the direction of y. 
<b>Math Function:</b> long double nexttowardl(long double <i>x</i>, long double <i>y</i>); | <b>Math function</b> used to calculates the next representable value after x in the direction of y. 
<b>Math Function:</b> double pow(double <i>x</i>, double <i>y</i>); | <b>Math function</b> used to calculates the value x to the power y. 
<b>Math Function:</b> _Decimal32 quantized32(_Decimal32 <i>x</i>, _Decimal32 <i>y</i>); | <b>Math function</b> used to compute the quantum exponent of a single-precision decimal floating-point value. 
<b>Math Function:</b> _Decimal64 quantized64(_Decimal64 <i>x</i>, _Decimal64 <i>y</i>); | <b>Math function</b> used to compute the quantum exponent of a double-precision decimal floating-point value. 
<b>Math Function:</b> _Decimal128 quantized128(_Decimal128 <i>x</i>, _Decimal128 <i>y</i>); | <b>Math function</b> used to compute the quantum exponent of a quad-precision decimal floating-point value. 
<b>Math Function:</b> int quantexpd32(_Decimal32 <i>x</i>); | <b>Math function</b> used to set the quantum exponent of a single-precision decimal floating-point value to the quantum exponent of another single-precision decimal floating-point value. 
<b>Math Function:</b> int quantexpd64(_Decimal64 <i>x</i>); | <b>Math function</b> used to set the quantum exponent of a double-precision decimal floating-point value to the quantum exponent of another double-precision decimal floating-point value. 
<b>Math Function:</b> int quantexpd128(_Decimal128 <i>x</i>); | <b>Math function</b> used to set the quantum exponent of a quad-precision decimal floating-point value to the quantum exponent of another quad-precision decimal floating-point value. 
<b>Math Function:</b> __bool__ samequantumd32(_Decimal32 <i>x</i>, _Decimal32 <i>y</i>); | <b>Math function</b> used to determine if the quantum exponents of two single-precision decimal floating-point values are the same. 
<b>Math Function:</b> __bool__ samequantumd64(_Decimal64 <i>x</i>, _Decimal64 <i>y</i>); | <b>Math function</b> used to determine if the quantum exponents of two double-precision decimal floating-point values are the same. 
<b>Math Function:</b> __bool__ samequantumd128(_Decimal128 <i>x</i>, _Decimal128 <i>y</i>); | <b>Math function</b> used to determine if the quantum exponents of two quad-precision decimal floating-point values are the same. 
<b>Math Function:</b> double sin(double <i>x</i>); | <b>Math function</b> used to calculates the sine of x. 
<b>Math Function:</b> double sinh(double <i>x</i>); | <b>Math function</b> used to calculates the hyperbolic sine of x. 
<b>Math Function:</b> double sqrt(double <i>x</i>); | <b>Math function</b> used to calculates the square root of x. 
<b>Math Function:</b> double tan(double <i>x</i>); | <b>Math function</b> used to calculates the tangent of x. 
<b>Math Function:</b> double tanh(double <i>x</i>); | <b>Math function</b> used to calculates the hyperbolic tangent of x. 
<b>Math Function:</b> double y0(double <i>x</i>); | <b>Math function</b> used to calculates the Bessel function value of the second kind of order 0. 
<b>Math Function:</b> double y1(double <i>x</i>); | <b>Math function</b> used to calculates the Bessel function value of the second kind of order 1. 
<b>Math Function:</b> double yn(int <i>n</i>, double <i>x</i>); | <b>Math function</b> used to calculates the Bessel function value of the second kind of order n. 
